# ERICA Nav — Shuttle bus timetable data
#
# HOW TO EDIT: this file drives the "Shuttle" tab in the app. Edit rows below in Excel/Sheets
# and re-upload/replace this file — changes show up next time the app loads.
#
# One row = one bus departure (a stop the bus leaves from, at a time, on a route).
#
# Column guide:
#  period       semester | session | vacation   (which part of the academic calendar this applies to)
#  day_type     weekday | holiday                (weekday = Mon-Fri class days; holiday = weekends + public holidays)
#  stop         res | cock | hda | apt            (boarding stop code — see stop_name for the full name)
#  stop_name    full name of the boarding stop (for reference only — editing this column does nothing; edit "stop")
#  time         24-hour HH:MM departure time from that stop
#  route_code   C | DH | DY | D | J               (which route this departure runs — see route_name)
#  route_name   full name of the route (for reference only — editing this column does nothing; edit "route_code")
#
# Route codes: C = Cycle route, stops at every stop in order (Residence -> Shuttlecock -> Handaeap Stn -> Yesulin APT).
#              DH = Direct to Handaeap Stn (skips stops in between). DY = Direct to Yesulin APT. D = generic direct route.
#              J = Via Jungang Stn detour (only these runs stop at Jungang Stn).
#
# Stop codes:  res = ERICA Residence · cock = Shuttlecock stop (campus) · hda = Handaeap Stn (Line 4) · apt = Yesulin APT (Ansan terminal)
#
# To add a departure: add a new row with the same period/day_type/stop and a new time+route_code.
# To remove one: delete its row. To change a time: edit the "time" cell.
#
period,day_type,stop,stop_name,time,route_code,route_name
semester,weekday,hda,Handaeap Stn (Line 4),16:28,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),16:34,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),16:40,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),16:46,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),16:52,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),16:58,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),17:04,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),17:10,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),17:16,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),17:22,J,Via Jungang Stn
semester,weekday,hda,Handaeap Stn (Line 4),17:28,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),17:34,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),17:40,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),17:46,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),17:52,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),17:58,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),18:04,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),18:10,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),18:16,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),18:22,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),18:28,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),18:34,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),18:40,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),18:50,D,Direct route
semester,weekday,hda,Handaeap Stn (Line 4),19:10,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),19:20,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),19:30,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),19:40,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),19:50,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),20:00,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),20:10,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),20:20,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),20:30,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),20:40,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),20:50,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),21:00,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),21:10,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),21:20,C,Cycle route (all stops)
semester,weekday,hda,Handaeap Stn (Line 4),21:30,C,Cycle route (all stops)
